"customer_id";"customer_state";"customer_city";"value_segment";"activity_status";"total_spent";"days_since_last_purchase";"order_purchase_timestamp";"price";"freight_value";"order_total"
"fe196aba95e52d084e7bb60dbd8a23f1";"SC";"indaial";"Low Value";"Inactive";146.08;492;"2017-04-27 08:26:54";22.0;14.52;36.52
"fe196aba95e52d084e7bb60dbd8a23f1";"SC";"indaial";"Low Value";"Inactive";146.08;492;"2017-04-27 08:26:54";22.0;14.52;36.52
"3971ac136496b4368c1431bb5bce0929";"MS";"campo grande";"High Value";"Inactive";757.82;254;"2017-12-21 20:55:24";320.0;58.91;378.91
"f90389504400442cf00ae1b04e8280a9";"SP";"sao paulo";"Low Value";"Inactive";139.42;329;"2017-10-07 13:59:13";56.97;12.74;69.71
"369ec69ef76c47e51980b88a5740dc1b";"BA";"andorinha";"High Value";"Active";528.44;21;"2018-08-11 20:58:44";249.0;15.22;264.22
"0c7a95280b3f80eadd81c829e093dbec";"MA";"sao luis";"High Value";"Inactive";594.4;162;"2018-03-23 11:43:13";243.37;53.83;297.2
"2e21846cd2112929ca821e9716281192";"SP";"jundiai";"Medium Value";"Active";471.66;43;"2018-07-20 12:25:03";219.0;16.83;235.83
"84d818ae645c84264965bc603b1d173f";"SP";"fernandopolis";"Medium Value";"At Risk";372.2;68;"2018-06-25 17:26:38";122.99;63.11;186.1
"61449fa1b8b8998c9c3f3a7f0ae954ef";"SP";"mairipora";"Medium Value";"Inactive";227.24;412;"2017-07-16 10:27:45";99.9;13.72;113.62
"565ab5b150fec651f51db8783d2e645a";"RS";"panambi";"Medium Value";"Inactive";331.6;208;"2018-02-05 19:28:53";150.0;15.8;165.8
"748632357c64f888b1f6932d1eee4fd7";"RJ";"itaborai";"Medium Value";"Inactive";216.38;474;"2017-05-15 20:46:00";89.99;18.2;108.19
"6a4ea2081853cd8dd8d7c69cdf86925a";"RJ";"campos dos goytacazes";"Low Value";"Inactive";144.28;478;"2017-05-11 21:36:10";56.99;15.15;72.14
"25d1a8eaa40b155630ad44faa4b38e40";"AL";"paripueira";"High Value";"Inactive";758.4;367;"2017-08-30 16:03:26";349.9;29.3;379.2
"2d8748fb35d51c2fd273ee67fff78b7a";"PR";"curitiba";"Low Value";"Inactive";150.36;279;"2017-11-26 09:32:06";60.0;15.18;75.18
"17e1a5591eec6af6ab825d5687790ee7";"SP";"sao paulo";"Medium Value";"Inactive";298.06;144;"2018-04-10 19:24:04";134.0;15.03;149.03
"8afb90a97ee661103014329b1bcea1a2";"GO";"anapolis";"Medium Value";"Inactive";270.82;527;"2017-03-23 12:21:17";109.9;25.51;135.41
"31d79ded8b09c0a871f049c73f2d331f";"SP";"brodowski";"Medium Value";"Inactive";343.24;128;"2018-04-26 23:10:33";148.0;23.62;171.62
"625784c6aad212dc7d249ea10e276617";"MG";"carmo da mata";"Medium Value";"Inactive";308.28;410;"2017-07-18 13:32:25";119.94;34.2;154.14
"1b9506de3da8fd318853195b13fb2dda";"SP";"sao paulo";"Low Value";"Inactive";115.36;273;"2017-12-02 01:20:28";49.9;7.78;57.68
"16c0be52bf7bf9069c6fa0d850c660ac";"SP";"sao paulo";"Low Value";"At Risk";110.26;108;"2018-05-16 16:38:10";39.9;15.23;55.13
"c7f658d05c387b0664410be68026ef0d";"RJ";"rio de janeiro";"Low Value";"Inactive";179.16;261;"2017-12-14 01:30:04";29.0;15.79;44.79
"c7f658d05c387b0664410be68026ef0d";"RJ";"rio de janeiro";"Low Value";"Inactive";179.16;261;"2017-12-14 01:30:04";29.0;15.79;44.79
"89a187407adfc8a32a4d6233a6a237d8";"MS";"campo grande";"Medium Value";"Inactive";388.24;195;"2018-02-18 16:22:23";149.0;45.12;194.12
"3c628393675b42c6b5ef89461f68ecef";"MG";"belo horizonte";"High Value";"Inactive";779.64;471;"2017-05-18 20:59:24";179.9;15.01;194.91
"3c628393675b42c6b5ef89461f68ecef";"MG";"belo horizonte";"High Value";"Inactive";779.64;471;"2017-05-18 20:59:24";179.9;15.01;194.91
"1fc77bb785f297743a18fac02b30de62";"BA";"salvador";"Low Value";"Inactive";87.56;299;"2017-11-06 16:24:03";27.99;15.79;43.78
"574478d054c2bae93a3c66c8a32f4fd5";"MG";"belo horizonte";"Low Value";"At Risk";162.84;96;"2018-05-28 19:15:19";65.0;16.42;81.42
"482d1baa7d2f9c4d4b54ae09215d39c8";"RS";"alegrete";"Low Value";"Inactive";131.06;439;"2017-06-19 14:56:36";39.9;25.63;65.53
"09d9f64ba169a1b0e2c8d9690ef483c2";"SP";"sao paulo";"Medium Value";"Active";316.02;33;"2018-07-30 18:34:42";139.9;18.11;158.01
"45ba03e2c6bbb5dc48131ba32ec3ae5e";"RJ";"rio de janeiro";"Medium Value";"At Risk";275.66;81;"2018-06-12 09:51:55";118.9;18.93;137.83
"9583b047c90d4aa1c5c68b4065ba7f4e";"SP";"osasco";"Medium Value";"Inactive";465.44;266;"2017-12-09 19:11:22";99.9;14.35;114.25
"9583b047c90d4aa1c5c68b4065ba7f4e";"SP";"osasco";"Medium Value";"Inactive";465.44;266;"2017-12-09 19:11:22";99.9;18.57;118.47
"e7214f2cd8744c2d6d53e74e226ad9de";"MG";"sao joaquim de bicas";"Low Value";"Inactive";86.22;209;"2018-02-04 19:34:05";28.0;15.11;43.11
"204bbfa4c9b59b50791939141259e2ed";"MG";"belo horizonte";"Medium Value";"Inactive";223.62;450;"2017-06-08 18:26:09";94.9;16.91;111.81
"53379b14e4048e025dc5a2185f461bb7";"SP";"atibaia";"High Value";"Inactive";550.38;158;"2018-03-27 22:14:59";259.9;15.29;275.19
"b4a2eabc4ac6b82d0f3aa2961fc9220b";"SP";"sao paulo";"Low Value";"At Risk";190.4;108;"2018-05-16 18:29:24";83.99;11.21;95.2
"069c942e82eba9152f2797da49e1e764";"RJ";"macae";"Low Value";"Inactive";127.04;542;"2017-03-08 16:49:01";49.0;14.52;63.52
"b70e717fe0599c3bf2f69725b26fdf8e";"MG";"dores de campos";"Medium Value";"Inactive";332.7;227;"2018-01-17 16:44:42";138.0;28.35;166.35
"cf4604a56d4e374de013f1ec35280d00";"BA";"salvador";"Medium Value";"Inactive";250.66;132;"2018-04-22 14:26:17";102.9;22.43;125.33
"46c8678b6afe29d90d3142f31ff01791";"SP";"sao carlos";"High Value";"At Risk";785.78;108;"2018-05-16 10:58:56";39.99;1.98;41.97
"46c8678b6afe29d90d3142f31ff01791";"SP";"sao carlos";"High Value";"At Risk";785.78;108;"2018-05-16 10:58:56";159.0;16.46;175.46
"46c8678b6afe29d90d3142f31ff01791";"SP";"sao carlos";"High Value";"At Risk";785.78;108;"2018-05-16 10:58:56";159.0;16.46;175.46
"686ca7499141a82f95123c370af061b0";"SP";"sao jose dos campos";"Low Value";"Inactive";95.36;233;"2018-01-11 20:04:57";39.9;7.78;47.68
"7f4b6c52e1e85f2e166d5f01ea86dec1";"SP";"franco da rocha";"Low Value";"Inactive";106.54;299;"2017-11-06 22:25:04";39.9;13.37;53.27
"2e068340b3037f667ce3224bd59260af";"SP";"sao paulo";"Low Value";"Inactive";191.04;317;"2017-10-19 15:08:48";39.49;8.27;47.76
"2e068340b3037f667ce3224bd59260af";"SP";"sao paulo";"Low Value";"Inactive";191.04;317;"2017-10-19 15:08:48";39.49;8.27;47.76
"08ebd000e60012404de32cacee764799";"MG";"patos de minas";"Low Value";"Inactive";125.02;279;"2017-11-26 21:33:25";46.4;16.11;62.51
"b0962d2b8c090ec26077939595a5b00a";"PE";"jaboatao dos guararapes";"Low Value";"Inactive";94.06;166;"2018-03-19 05:02:28";27.99;19.04;47.03
"1a1b5f9e903aa3c203caf5cb63fca2b1";"RJ";"sao goncalo";"Low Value";"Inactive";193.6;225;"2018-01-19 21:07:32";79.0;17.8;96.8
"13a546131c3ba5360cefc5abbb428a01";"SP";"sao jose dos campos";"Low Value";"Inactive";75.52;194;"2018-02-19 10:29:23";29.98;7.78;37.76
"edc2830530b7d989c82121b21e1c229d";"BA";"salvador";"Low Value";"Inactive";153.52;443;"2017-06-15 16:02:23";59.9;16.86;76.76
"95ec188041551055bfa8abedc15c9218";"RS";"butia";"Low Value";"Inactive";175.28;387;"2017-08-10 21:05:20";69.9;17.74;87.64
